id,title,person,liked_recipes,prepare_recipes,fit_preference,know_many,recommend_recipe,many_to_choose,easy_choice,choice_overwhelming,sys_time,unders_sys,many_actions,understandability,satisfaction,effectiveness,persuasiveness,nudge_eval,created,session_id
2,EvaluateChoices,4,Agree,Neutral,Agree,Strongly_Agree,Neutral,Agree,Agree,Strongly_Disagree,Disagree,Agree,Agree,Strongly_Disagree,Agree,Agree,Agree,Disagree,2024-12-10 15:25:34.772006+00:00,55dd87ed50a1f7001190e563
3,EvaluateChoices,5,Agree,Agree,Agree,Strongly_Agree,Disagree,Disagree,Agree,Strongly_Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,2024-12-10 15:26:13.189769+00:00,6713a6a34b872f10e42e1502
4,EvaluateChoices,6,Disagree,Disagree,Disagree,Strongly_Agree,Strongly_Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,2024-12-10 15:29:28.996403+00:00,663dd8f8001a4460c977b1b7
5,EvaluateChoices,7,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly_Disagree,Disagree,Agree,Strongly_Disagree,Agree,Agree,Agree,Agree,Strongly_Agree,2024-12-10 15:33:35.803842+00:00,59e71a3b1ac65d0001eb47ac
6,EvaluateChoices,8,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Agree,Agree,Agree,Agree,Strongly_Agree,2024-12-10 15:34:53.690651+00:00,59e91504be399f0001e4a072
7,EvaluateChoices,10,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,2024-12-10 15:51:00.693019+00:00,66d75c8fd92ceabf89754ce7
8,EvaluateChoices,9,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,2024-12-10 15:51:44.864748+00:00,59712abaafd8a4000160ff35
9,EvaluateChoices,12,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly_Disagree,Strongly_Disagree,Agree,Strongly_Disagree,Agree,Agree,Agree,Agree,Strongly_Agree,2024-12-10 15:52:14.409844+00:00,610ab785360bcd633fb5b0d6
10,EvaluateChoices,22,Neutral,Disagree,Neutral,Agree,Strongly_Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,2024-12-10 15:52:35.708927+00:00,5e8b70bd6246300465f12911
11,EvaluateChoices,15,Strongly_Agree,Strongly_Agree,Strongly_Agree,Agree,Agree,Disagree,Strongly_Agree,Strongly_Disagree,Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,2024-12-10 15:52:37.420505+00:00,674ca2f2b42dd96dc2f71707
12,EvaluateChoices,14,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly_Agree,2024-12-10 15:52:53.767136+00:00,55c3b47dfdf99b52bdba86da
13,EvaluateChoices,16,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Agree,2024-12-10 15:53:17.394766+00:00,5c9a19cdd9540400018186e1
14,EvaluateChoices,32,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Strongly_Disagree,Strongly_Disagree,Agree,Strongly_Disagree,Disagree,Neutral,Agree,Disagree,Agree,2024-12-10 15:53:18.598967+00:00,60fd24cb7830012cc703a304
15,EvaluateChoices,11,Neutral,Disagree,Disagree,Strongly_Agree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,2024-12-10 15:53:25.628351+00:00,65a71e97ef9e5d465ec074ef
16,EvaluateChoices,31,Strongly_Agree,Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Agree,Agree,Agree,Agree,2024-12-10 15:53:33.345213+00:00,6658b1491e88ec15902d5301
17,EvaluateChoices,19,Agree,Agree,Agree,Disagree,Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,2024-12-10 15:53:33.799567+00:00,5c7010404a99c6000139851e
18,EvaluateChoices,33,Agree,Disagree,Agree,Agree,Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Agree,Agree,Strongly_Agree,Strongly_Disagree,2024-12-10 15:53:42.757192+00:00,665abb661d3f242a05ffb7ed
