id,person,recommended_recipes,healthiness,created,llm_nudges
166,89,"[5474, 5364, 6563]",Unhealthy,2024-12-11 14:02:49.439468+00:00,"['Ham Chowder is a high-calorie dish with a FSA score of 10, containing 5.263g of fat and 19.1g of protein, making it unsuitable for individuals with lower BMI and no eating goals. The preparation of this recipe is discouraged for those who have enough hours of sleep and engage in only somewhat or medium levels of activity.', 'Twice-cooked coconut shrimp is a high-calorie dish with 602 calories, 6.96g fat, and 25.1g protein per serving, earning a poor FSA score of 10 out of 12. It may not be suitable for individuals with lower BMI, no specific eating goals, adequate sleep, and only moderate activity levels. Consider healthier options for a more balanced diet.', 'Ricotta Gnocchi is a high-calorie dish made with ricotta cheese, flour, and eggs, containing 10.68305831g of fat and scoring a 10 out of 12 on the FSA scale. With 442 calories and 22.4g of protein, this recipe may not be suitable for individuals with lower BMI, no specific eating goals, sufficient sleep, somewhat active lifestyle, and moderate physical activity levels.']"
165,89,"[2803, 2955, 200]",Healthy,2024-12-11 14:02:49.436463+00:00,"['Dive into the goodness of Divine Spaghetti Sauce, with only 534 calories and a low fat content of 2.879594958g. Packed with 26.3g of protein, this healthy recipe scores a perfect 6 on the FSA scale, making it an ideal and satisfying choice for those looking for a nutritious meal. Treat yourself to a delicious and guilt-free dinner option that complements a lifestyle of moderate activity and enough rest.', 'This Chicken Pasta is a healthy choice with a FSA score of 5, low in calories (185), and high in protein (15.7g). With only 1.3g of fat, it is a nutritious option for someone with a lower BMI and medium activity level seeking a balanced meal. Prepare this dish for a satisfying and guilt-free dinner that supports your health goals.', 'Divine Spaghetti Sauce is a healthy and flavorful option, with a perfect FSA score of 6 out of 6. With only 124 calories, 4.024351608g fat, and 11.7g protein, this dish is a satisfying choice for those looking to maintain a lower BMI while enjoying a delicious meal. With enough hours of sleep, a medium level of activity, and no specific eating goal, you can easily prepare this nutritious and tasty spaghetti sauce.']"
164,86,"[3649, 4416, 3992]",Unhealthy,2024-12-11 13:52:39.540441+00:00,"['Enchilada Casserole is a tasty dish made with layers of corn tortillas, seasoned chicken, cheese, and enchilada sauce. However, with a high FSA score of 10, 375 calories, and 9.74025974g fat per serving, it may not be the best choice for individuals with higher BMIs trying to lose weight. It is recommended for those with a more active lifestyle and moderate eating habits.', 'Parmesan Artichoke Casserole is a high-fat dish with a FSA score of 10 out of 12, containing 300 calories, 16.69383335g fat, and 15.7g protein. Individuals with higher BMI seeking weight reduction, limited sleep, or low activity levels should avoid preparing this recipe.', 'Raspberry Almond Coffeecake is a decadent dessert with a high FSA score of 10 out of 12, containing 173 calories, 10.67425725g fat, and only 2.9g of protein. It is not recommended for those with a higher BMI or trying to lose weight, and may not be suitable for those who do not get enough sleep or engage in only moderate physical activity. Consider healthier options for dessert choices.']"
163,86,"[1716, 2871, 2746]",Healthy,2024-12-11 13:52:39.536621+00:00,"['These Tasty Collard Greens are a nutritious and satisfying dish, with a FSA score of 5 out of 6 making them a great choice for those with higher BMI. With only 142 calories, 2.6g of fat, and 9.6g of protein, they are a healthy option for individuals focusing on maintaining a balanced diet. Whether you engage in somewhat or medium levels of physical activity, preparing this recipe will provide you with a delicious and nutrient-dense meal.', 'This Slow Cooker Vegetable Beef Soup is a nutritious dish packed with wholesome ingredients like beef, vegetables, and protein-rich broth. With a FSA score of 6 out of 6 and only 264 calories per serving, it is a healthy option for those looking to maintain their weight. For individuals with higher BMI who prioritize health and wellness, this recipe is perfect for a satisfying and balanced meal.', 'Tasty Collard Greens is a nutritious dish with a FSA score of 5, making it a healthy choice for individuals looking to maintain a balanced diet. With only 223 calories, 2.592545122g fat, and 14.7g protein per serving, this dish is a satisfying option for those with higher BMI seeking flavorful meals with health benefits. By incorporating ingredients like collard greens, which are rich in essential nutrients, this recipe is perfect for individuals who prioritize their health and enjoy cooking meals with Somewhat and Medium activity levels.']"
162,88,"[3735, 5152, 3834]",Unhealthy,2024-12-11 13:51:42.064710+00:00,"['Hawaiian Chicken II is a flavorful dish made with chicken, pineapple, and a sweet glaze. However, with a high FSA score of 10, 540 calories, 4.739843486g fat, and 24.9g protein, it may not be the best choice for someone with normal BMI, no eating goals, few hours of sleep, not active, and medium activity levels. It is important to consider healthier options for optimal health and wellness.', ""Daddy's Sausage and Peppers is a high-calorie dish with a high fat content, earning a poor FSA score of 10 out of 12. With 514 calories, 9.85g of fat, and 24.9g of protein, this meal is not suitable for someone with normal BMI, no eating goals, minimal sleep, and moderate physical activity levels."", 'Quick Cassoulet is a high calorie dish with a FSA score of 10 out of 12, containing 466 calories, 5.05g fat, and 23.9g protein. With ingredients that are not considered healthy for someone with no specific dietary requirements, normal BMI, and limited hours of sleep, it is not recommended for consumption.']"
161,88,"[561, 494, 2265]",Healthy,2024-12-11 13:51:42.061570+00:00,"['Moroccan Tagine is a healthy dish with a perfect FSA score of 6, containing 265 calories, 0.963675413g fat, and 14.1g protein. Packed with nutritious ingredients like lean proteins, vegetables, and aromatic spices, it is a satisfying and guilt-free meal option. With minimal effort required to prepare, this dish is perfect for someone with medium activity levels and no specific dietary restrictions.', 'This Apple Glazed Pork Tenderloin is a healthy choice for your next meal, with a low FSA score of 6 out of 6 and only 434 calories. Packed with 22.5g of protein and just 1.933534743g of fat, this dish is perfect for someone with medium activity levels looking to enjoy a nutritious dinner option. Try it tonight and fuel your body with goodness!', 'Moroccan Tagine is a healthy and nutrient-rich dish made with lean protein, vegetables, and aromatic spices. With only 206 calories per serving, 0.274678112g of fat, and 13.7g of protein, it is a satisfying and balanced meal option. With a FSA score of 4 out of 6, it is a great choice for individuals looking for a tasty and wholesome meal to fuel their day.']"
160,87,"[3489, 4167, 5609]",Unhealthy,2024-12-11 13:50:54.277834+00:00,"['Flank steak with avocado salsa is a high-calorie dish with 540 calories and 9.565638361g fat per serving, making it unsuitable for those looking to reduce weight or with higher BMI. Additionally, the FSA score of 10 out of 12 indicates a less healthy option. With only 25.7g of protein, it may not be sufficient for individuals with medium activity levels and low sleep hours.', 'This dish consists of a chicken breast stuffed with spinach, blue cheese, and bacon. With a high FSA score of 10 out of 12, 444 calories, and 9.45g of fat, it may not be the best choice for individuals looking to reduce weight. It is best avoided by those with higher BMI, poor sleep habits, and low activity levels.', 'Uglies are a high-fat, high-calorie dish with a low FSA score of 10 out of 12, making them an unhealthy choice for individuals with higher BMI. They contain 360 calories, 9.7g of fat, and 17.2g of protein, making them a poor choice for those trying to lose weight. With a lack of sleep, low activity level, and no dietary restrictions, Uglies are not recommended for consumption.']"
159,87,"[561, 91, 494]",Healthy,2024-12-11 13:50:54.273656+00:00,"['Moroccan Tagine is a healthy and flavorful dish made with a mix of lean protein, vegetables, and fragrant spices, making it a nutritious choice for those looking to maintain a balanced diet. With a FSA score of 6, low in fat at 0.963675413g and high in protein at 14.1g, it is a satisfying meal at just 265 calories. Even for individuals with higher BMIs and moderate activity levels, the preparation of this dish is simple and worth the effort for a delicious and guilt-free meal.', 'These Homemade Black Bean Veggie Burgers are a nutritious and satisfying option for a balanced meal. With a FSA score of 5, low in calories and fat but high in protein, they are a healthy choice for those with higher BMI and medium activity levels. Despite limited sleep and no weight loss goal, preparing these burgers can help you maintain a healthy diet.', ""Moroccan Tagine is a nutrient-dense dish made with lean protein, healthy fats, and plenty of vegetables, earning a perfect FSA score of 6 out of 6. With only 434 calories, 1.93g of fat, and 22.5g of protein per serving, it's a healthy option for those with higher BMI looking to maintain their weight. Despite needing a few hours of sleep, the medium activity involved in preparing this flavorful dish is worth the effort for its nutritional benefits.""]"
158,85,"[3992, 3649, 4516]",Unhealthy,2024-12-11 11:59:44.869590+00:00,"['This Raspberry Almond Coffeecake is a high-fat, low-protein dessert with a FSA score of 10 out of 12, indicating a poor nutritional profile. With 173 calories per serving, this treat may not be suitable for individuals with higher BMI or no specific dietary goals who are engaging in only medium levels of physical activity. It is best avoided by those looking to maintain a healthy lifestyle and achieve optimal sleep.', 'Enchilada Casserole is a high-calorie dish with 375 calories, 9.74g fat, and 17.4g protein. With a FSA score of 10 out of 12, it is not a healthy option for individuals with a higher BMI and no specific eating goals, along with those who do not get enough sleep or engage in only medium levels of physical activity.', 'Coconut Bon Bons are decadent treats packed with unhealthy fats and minimal protein, earning a poor FSA score of 10 out of 12. With 148 calories per serving and a high fat content of 17.67617821g, this recipe is not recommended for those with higher BMIs or no specific dietary goals. It is best avoided by individuals who do not engage in regular physical activity or do not get enough sleep.']"
157,85,"[2955, 2746, 200]",Healthy,2024-12-11 11:59:44.863143+00:00,"['Chicken Pasta I is a healthy dish featuring tender chicken pieces, whole wheat pasta, and a flavorful tomato sauce. With a FSA score of 5 out of 6, it is a nutritious option at only 185 calories, 1.3g fat, and 15.7g protein per serving. Perfect for those with a higher BMI and medium activity level looking for a satisfying meal without compromising on health.', ""Hearty Hamburger Soup is a nutritious dish with a FSA score of 5, making it a healthy option for those looking to maintain their weight. With only 223 calories, 2.59g of fat, and 14.7g of protein per serving, this soup is a satisfying choice for individuals with higher BMI and medium activity levels. It's a delicious and filling meal to enjoy after a long day, ensuring a balanced and nourishing diet."", 'Chicken Pasta I is a nutritious dish made with lean chicken, whole wheat pasta, and a blend of vegetables. With a FSA score of 6 out of 6, it is considered a healthy option for those looking to maintain a balanced diet. With only 124 calories, 4.024351608g of fat, and 11.7g of protein, this recipe is perfect for individuals with higher BMI who are looking to enjoy a satisfying meal without compromising their health goals.']"
