id,title,person,liked_recipes,prepare_recipes,fit_preference,know_many,recommend_recipe,many_to_choose,easy_choice,choice_overwhelming,sys_time,unders_sys,many_actions,understandability,satisfaction,effectiveness,persuasiveness,nudge_eval,created,session_id
4,EvaluateChoices,5,Agree,Neutral,Agree,Strongly_Agree,Disagree,Agree,Disagree,Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Agree,Disagree,Agree,Agree,Neutral,2024-12-11 09:28:56.265305+00:00,6659d6399e4c463086214f01
5,EvaluateChoices,6,Strongly_Agree,Agree,Agree,Disagree,Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Strongly_Disagree,Strongly_Disagree,2024-12-11 09:29:39.426160+00:00,59a456d1ec2f75000124f081
6,EvaluateChoices,8,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Neutral,Agree,Disagree,Strongly_Disagree,Strongly_Disagree,Disagree,Agree,Agree,Agree,Strongly_Agree,Strongly_Agree,2024-12-11 09:31:56.558773+00:00,5aed67f69457e00001054b11
7,EvaluateChoices,7,Agree,Agree,Neutral,Agree,Neutral,Strongly_Disagree,Agree,Disagree,Strongly_Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly_Disagree,Strongly_Disagree,2024-12-11 09:32:04.751380+00:00,63d3f953f8fb0fe970f0d0c6
8,EvaluateChoices,9,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,2024-12-11 09:33:07.154834+00:00,66ac95d6483407c02f550c80
9,EvaluateChoices,10,Strongly_Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Agree,Neutral,Agree,Strongly_Agree,Strongly_Agree,2024-12-11 10:06:21.040942+00:00,5c3ee97f6d874c0001bde431
10,EvaluateChoices,11,Strongly_Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Strongly_Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,2024-12-11 10:07:23.531705+00:00,5e130b3f54e2f09436f73393
11,EvaluateChoices,15,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,2024-12-11 10:08:46.757469+00:00,5f5a12160fb28e0590441a00
12,EvaluateChoices,17,Agree,Neutral,Agree,Agree,Agree,Strongly_Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly_Disagree,Strongly_Disagree,2024-12-11 10:09:31.032333+00:00,66c22291803cf74e9e9df57c
13,EvaluateChoices,14,Agree,Neutral,Agree,Disagree,Agree,Strongly_Disagree,Agree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,2024-12-11 10:09:45.444071+00:00,5d33eba92fd5a40016e58abb
