Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67595a288acd311a1f832899,6659d6399e4c463086214f01,APPROVED,Not Applicable,2024-12-11T09:24:00.634000Z,2024-12-11T09:29:27.013000Z,2024-12-11T09:35:20.203000Z,2024-12-11T09:29:28.736752Z,327.0,CJL9IR62,156,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6759635a15b41e3fe211a2dc,5c3ee97f6d874c0001bde431,APPROVED,Not Applicable,2024-12-11T10:03:15.359000Z,2024-12-11T10:06:36.068000Z,2024-12-11T10:24:51.630000Z,2024-12-11T10:06:36.639154Z,201.0,CJL9IR62,797,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6759637963c2a327859a9a0d,5e130b3f54e2f09436f73393,APPROVED,Not Applicable,2024-12-11T10:03:43.186000Z,2024-12-11T10:07:37.064000Z,2024-12-11T10:24:53.256000Z,2024-12-11T10:07:37.685340Z,234.0,CJL9IR62,2606,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6759638d45d837c92643e7b5,5d33eba92fd5a40016e58abb,APPROVED,Not Applicable,2024-12-11T10:04:05.112000Z,2024-12-11T10:10:14.852000Z,2024-12-11T10:24:54.464000Z,2024-12-11T10:10:21.925672Z,370.0,CJL9IR62,6306,English,34,Female,Black,United States,United States,United States,English,No,Full-Time
675963d2a1521b4b5974fbb9,648811310395937eb98761c4,APPROVED,Not Applicable,2024-12-11T10:05:11.791000Z,2024-12-11T10:11:14.053000Z,2024-12-11T10:24:59.762000Z,2024-12-11T10:11:15.916005Z,363.0,CJL9IR62,569,English,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
675963f298cf31a60d86dbe0,5f5a12160fb28e0590441a00,APPROVED,Not Applicable,2024-12-11T10:06:02.711000Z,2024-12-11T10:09:53.161000Z,2024-12-11T11:52:24.433000Z,2024-12-11T10:10:10.158793Z,231.0,CJL9IR62,847,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
675963f339963aebd4f04bb0,5e8f89db8ed06f27d73030ae,APPROVED,Not Applicable,2024-12-11T10:06:23.342000Z,2024-12-11T10:11:23.324000Z,2024-12-11T10:27:12.610000Z,2024-12-11T10:11:25.652914Z,300.0,CJL9IR62,1485,"English, Scots",48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
675964006c5481242c4cb184,5ed2717aec79fd1d3ca47d65,APPROVED,Not Applicable,2024-12-11T10:06:02.994000Z,2024-12-11T10:19:01.516000Z,2024-12-11T10:27:16.637000Z,2024-12-11T11:19:05.495013Z,779.0,CJL9IR62,1816,English,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67596400ce42afece51d7cad,665abd757f12f824a9fc172d,APPROVED,Not Applicable,2024-12-11T10:06:00.004000Z,2024-12-11T10:10:07.723000Z,2024-12-11T10:27:32.959000Z,2024-12-11T10:10:17.122900Z,248.0,CJL9IR62,176,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6759640f21f228d227f04bc0,606cabcd5c1e1e870296997e,APPROVED,Not Applicable,2024-12-11T10:06:16.466000Z,2024-12-11T10:15:07.824000Z,2024-12-11T10:27:13.620000Z,2024-12-11T10:15:23.386727Z,532.0,CJL9IR62,543,"English, Somali",26,Female,Black,Denmark,United Kingdom,Denmark,Somali,DATA_EXPIRED,DATA_EXPIRED
6759641209072ad967b22180,66ae48fd0da086847386944f,APPROVED,Not Applicable,2024-12-11T10:06:15.440000Z,2024-12-11T10:11:53.319000Z,2024-12-11T10:27:41.738000Z,2024-12-11T10:11:56.220159Z,338.0,CJL9IR62,222,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
