id,person,recommended_recipes,healthiness,created,llm_nudges
180,91,"[3992, 3649, 4516]",Unhealthy,2024-12-12 13:39:58.352709+00:00,"[['#HealthyBaking', '#LowCalorieTreat', '#NutritiousCake', '#AlmondGoodness', '#IndulgentTreat', '#BakingWithLove'], ['#HealthyEnchiladaCasserole', '#LowCalorieMexicanDish', '#ProteinPackedMeal', '#HealthierAlternative', '#NotRecommendedForWeightLoss', '#FSA10'], ['#CoconutBonBons', '#HighFatContent', '#HighCalorieDessert', '#UnhealthyTreat', '#NotRecommended', '#LowProteinDish']]"
179,91,"[2955, 2746, 200]",Healthy,2024-12-12 13:39:58.349566+00:00,"[['#HealthyChickenPasta', '#LowCalorieDinner', '#HighProteinMeal', '#NutrientRichDish', '#DeliciousAndNutritious', '#FSA5Approved'], ['#HealthyHeartyHamburgerSoup', '#LowCalorieHighProtein', '#NutrientRichIngredients', '#BalancedFSA5Score', '#NutritiousSoupOption', '#SatisfyingAndLight'], ['#HealthyEating', '#LowCalorieDish', '#HighProteinMeal', '#NutrientRich', '#FSA6', '#EasyRecipe']]"
178,90,"[4206, 3885, 3983]",Unhealthy,2024-12-12 10:47:47.241570+00:00,"[['#RainbowCookies', '#UnhealthyTreat', '#HighFatContent', '#HighCalorieDessert', '#NotRecommendedForWeightLoss', '#IndulgeInModeration'], ['#HealthyCoconutTreats', '#LowCalorieCookieOption', '#NutrientRichIngredients', '#NotRecommendedForWeightLoss', '#IndulgentCoconutDelight', '#PerfectForModerateActivityLevels'], ['#HealthyBaking', '#LowProteinTreat', '#LowFSArecipe', '#LowCalorieDelight', '#AlmondShortbreadGoodness', '#RaspberryIndulgence']]"
177,90,"[200, 1716, 2955]",Healthy,2024-12-12 10:47:47.238518+00:00,"[['#HealthyAsianSkewers', '#NutritiousBeefRecipe', '#LowCalorieFlavors', '#ProteinPackedDish', '#FSA6ApprovedEats', '#DeliciouslyBalancedMeal'], ['#NutritionBoost', '#HealthyEating', '#LowCalorieMeal', '#HighProteinDish', '#DeliciousCollardGreens', '#FSA5'], ['#HealthyChickenPasta', '#LowCalorieDinner', '#HighProteinMeal', '#NutritiousPastaRecipe', '#GoodFSArating', '#BalancedDietChoice']]"
176,89,"[5474, 6345, 6563]",Unhealthy,2024-12-12 10:40:28.678598+00:00,"[['#HealthyHamChowder', '#LowFatHighProtein', '#NutritiousHamSoup', '#HealthyEatingOption', '#NotRecommendedForWeightLoss', '#AvoidIfInactive'], ['#UnhealthyPastaSauce', '#HighFatItalianSausage', '#FSA10BadChoice', '#CalorieOverload', '#NotForWeightLoss', '#NotRecommended'], ['#healthyeats', '#lowfatdelight', '#highproteindinner', '#goodforyou', '#indulgentbutbalanced', '#ricottagnocchi']]"
175,89,"[1005, 2329, 236]",Healthy,2024-12-12 10:40:28.673951+00:00,"[['#HealthyBlondeChickenChili', '#LowFatHighProteinMeal', '#NutrientRichIngredients', '#DeliciousAndNutritious', '#QuickAndEasyMeal', '#PerfectForLowEnergyDays'], ['#HealthyEatingDelight', '#LowFatHighProtein', '#FSA6ApprovedDish', '#NutrientRichMeal', '#SatisfyinglyNourishing', '#BalancedDietOption'], ['#HealthyMeatloafAlternative', '#HighProteinLowFatDish', '#NutritiousMeatloafRecipe', '#FSAapprovedMeal', '#CalorieSmartOption', '#SatisfyingAndHealthyLunchChoice']]"
174,88,"[3992, 3649, 4516]",Unhealthy,2024-12-12 10:40:15.429878+00:00,"[['#HealthyRaspberryAlmondCoffeecake', '#LowCalorieBake', '#NutrientRichTreat', '#CaffeineBoostWithBenefits', '#MindfulIndulgence', '#FitBakerChoice'], ['#HealthyEnchiladaCasserole', '#LowCalorieDinner', '#ProteinPackedMeal', '#HeartHealthyIngredients', '#FSA10Approved', '#NutritiousCasserole'], ['#DecadentCoconutIndulgence', '#UnhealthyTreat', '#HighFatLowProtein', '#CalorieBomb', '#FSA10Dish', '#NotForWeightLoss']]"
173,88,"[2955, 2746, 200]",Healthy,2024-12-12 10:40:15.426800+00:00,"[['#HealthyChickenPasta', '#LowFatHighProtein', '#NutritiousMealOption', '#DeliciousAndFilling', '#FSA5Approved', '#BalancedDietOption'], ['#ProteinPackedSoup', '#HealthyEating', '#LowCalorieMeal', '#BalancedDiet', '#NutrientRich', '#SatisfyingMeal'], ['#HealthyBeefSkewers', '#LowCalorieDish', '#HighProteinMeal', '#GingerHoisinFlavor', '#NutrientRichDinner', '#DeliciousAndNutritious']]"
172,87,"[5569, 4376, 6507]",Unhealthy,2024-12-12 10:39:01.358450+00:00,"[['#DecadentIndulgenceInAPie', '#UnhealthyConcoctionOfFatAndCalories', '#HeartAttackOnAPlate', '#DIYFastTrackToObesity', '#EatingThisIsASureWayToGainWeight', '#SkipThisRecipeForASmarterChoice'], ['#UnhealthyEggplantParmesan', '#HighCalorieDish', '#TooMuchFat', '#NoNutritionalValue', '#NotRecommended', '#InactiveLifestyle'], ['#UnhealthyChowder', '#HighFatContent', '#HighCalorieMeal', '#FattySeafood', '#UnbalancedNutrition', '#NotWorthTheEffort']]"
171,87,"[2282, 446, 2075]",Healthy,2024-12-12 10:39:01.355393+00:00,"[['#HealthyPastaFagioliSoup', '#NutrientRichDinner', '#LowFatHighProtein', '#BalancedMealOption', '#CalorieFriendlySoup', '#QuickAndEasyRecipe'], ['#HealthyBeanStew', '#FiberRichMeal', '#ProteinPackedDish', '#LowFatOption', '#NutrientDenseMeal', '#CalorieConsciousMeal'], ['#HealthyTurkeyGoulash', '#LowFatHighProtein', '#NutritiousOnePotMeal', '#FSA6Approved', '#311CalorieDelight', '#EasyAndNourishing']]"
