id,title,person,liked_recipes,prepare_recipes,fit_preference,know_many,recommend_recipe,many_to_choose,easy_choice,choice_overwhelming,sys_time,unders_sys,many_actions,understandability,satisfaction,effectiveness,persuasiveness,nudge_eval,created,session_id
3,EvaluateChoices,4,Strongly_Agree,Agree,Strongly_Agree,Agree,Strongly_Agree,Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Agree,Neutral,2024-12-10 16:01:45.896523+00:00,5b99238d30357200010c9ddc
4,EvaluateChoices,6,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Strongly_Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,2024-12-10 16:02:30.281155+00:00,602164e5c7f2bd119d6ea691
5,EvaluateChoices,7,Agree,Agree,Agree,Disagree,Agree,Strongly_Disagree,Agree,Strongly_Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,2024-12-10 16:04:11.120066+00:00,5df03fabc1ef790aa5595f8f
6,EvaluateChoices,5,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly_Agree,Disagree,Agree,Agree,Agree,Agree,Agree,2024-12-10 16:05:06.628831+00:00,58bf2cf0d294c100010181fa
7,EvaluateChoices,3,Agree,Agree,Strongly_Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly_Agree,Disagree,Strongly_Agree,Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,2024-12-10 16:07:11.543763+00:00,66f5b599fbee3f58bb2aa316
8,EvaluateChoices,8,Agree,Neutral,Agree,Neutral,Agree,Strongly_Disagree,Agree,Strongly_Disagree,Strongly_Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,2024-12-10 18:24:52.707615+00:00,614e5092e08a3a2d3204ffd2
9,EvaluateChoices,13,Agree,Agree,Agree,Strongly_Agree,Disagree,Disagree,Agree,Strongly_Disagree,Strongly_Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly_Agree,Agree,2024-12-10 18:25:05.748637+00:00,5b153db4444cef0001cb034f
10,EvaluateChoices,12,Agree,Disagree,Agree,Strongly_Agree,Strongly_Disagree,Agree,Disagree,Strongly_Disagree,Strongly_Disagree,Agree,Disagree,Neutral,Disagree,Strongly_Disagree,Neutral,Strongly_Disagree,2024-12-10 18:25:07.480137+00:00,5dda6f4e82569a9cea908bb2
11,EvaluateChoices,9,Strongly_Agree,Strongly_Agree,Strongly_Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,2024-12-10 18:25:23.102638+00:00,5d06743eac143b000118ce79
12,EvaluateChoices,11,Strongly_Agree,Agree,Strongly_Agree,Neutral,Agree,Agree,Strongly_Disagree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Agree,Agree,Neutral,Agree,2024-12-10 18:25:24.007290+00:00,62a72693ad239d8873b2d0bc
13,EvaluateChoices,18,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly_Disagree,Strongly_Disagree,Agree,Strongly_Disagree,Agree,Disagree,Agree,Strongly_Agree,Neutral,2024-12-10 18:25:35.213667+00:00,5ba1387c2000c10001b71649
14,EvaluateChoices,10,Strongly_Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly_Agree,Strongly_Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly_Agree,2024-12-10 18:25:36.030940+00:00,669053bbebafdd430e770142
15,EvaluateChoices,16,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Strongly_Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,2024-12-10 18:25:41.592882+00:00,6658b3e45e1a41dd45542dd5
16,EvaluateChoices,20,Strongly_Agree,Agree,Strongly_Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Strongly_Agree,Neutral,Agree,Agree,Strongly_Agree,Agree,Agree,2024-12-10 18:25:46.144536+00:00,665f4675f6943669e107d877
