id,person,recipe_id,recipe_name,Nutri_score,fsa_score,healthiness,created,session_id
88,91,561,Moroccan Tagine,A,6,healthy,2024-12-11 14:57:17.943178+00:00,dars155414_91jkidw
87,87,2746,Hearty Hamburger Soup,A,5,healthy,2024-12-11 14:08:26.915472+00:00,dars145227_87qwfqo
86,90,2955,Chicken Pasta I,A,5,healthy,2024-12-11 14:02:55.736575+00:00,dars145918_90cljzx
85,85,2803,Divine Spaghetti Sauce,A,6,healthy,2024-12-11 13:58:39.568072+00:00,dars145030_85opotl
84,89,1005,Michelle's Blonde Chicken Chili,A,4,healthy,2024-12-11 13:56:52.879159+00:00,dars145309_89atpkx
83,88,2803,Divine Spaghetti Sauce,A,6,healthy,2024-12-11 13:56:01.301776+00:00,dars145237_88ttgxm
82,86,2955,Chicken Pasta I,A,5,healthy,2024-12-11 13:54:44.750429+00:00,dars145213_86kpqgn
81,82,5549,Three Meat Cannelloni Bake,B,10,unhealthy,2024-12-11 13:50:51.952377+00:00,dars144804_82yunzg
80,83,2955,Chicken Pasta I,A,5,healthy,2024-12-11 13:50:37.384955+00:00,dars144839_83ihhia
79,84,6563,Ricotta Gnocchi,C,10,unhealthy,2024-12-11 13:50:31.167098+00:00,dars144842_84wovzg
78,80,2329,Lentil Loaf,A,5,healthy,2024-12-11 13:49:23.239189+00:00,dars144745_80scnza
77,81,2719,Quick and Easy Chicken Noodle Soup,A,6,healthy,2024-12-11 13:48:46.547129+00:00,dars144750_81waaup
76,79,2871,Slow Cooker Vegetable Beef Soup,A,6,healthy,2024-12-11 13:34:37.936766+00:00,dars143349_79zbjft
75,78,2955,Chicken Pasta I,A,5,healthy,2024-12-11 09:37:58.313272+00:00,dars103429_78hhuif
74,77,2619,Slow Cooker Chicken Marrakesh,A,5,healthy,2024-12-11 09:33:07.645419+00:00,dars103208_77bitwi
73,73,3489,Flank Steak with Avocado Salsa,A,10,unhealthy,2024-12-11 09:31:14.237633+00:00,dars102648_73hpolt
72,75,2955,Chicken Pasta I,A,5,healthy,2024-12-11 09:30:59.745383+00:00,dars102905_75xkvyr
71,76,2955,Chicken Pasta I,A,5,healthy,2024-12-11 09:30:59.492334+00:00,dars102905_76tunpw
70,74,2955,Chicken Pasta I,A,5,healthy,2024-12-11 09:29:09.592710+00:00,dars102721_74wktpq
69,72,2329,Lentil Loaf,A,5,healthy,2024-12-11 09:28:43.605320+00:00,dars102628_72tbpcb
68,71,5569,Luscious Chicken Pot Pie,A,10,unhealthy,2024-12-11 09:28:15.803449+00:00,dars102620_71qgcda
67,70,494,Apple Glazed Pork Tenderloin,A,6,healthy,2024-12-11 09:26:09.811615+00:00,dars102503_70ufyuh
66,69,2282,Pasta Fagioli Soup II,A,6,healthy,2024-12-11 09:22:42.766705+00:00,dars102131_69ekepg
65,68,200,Hoisin-Ginger Beef Skewers,B,6,healthy,2024-12-10 19:19:35.377404+00:00,dars201826_68osdvb
64,67,4376,Eggplant Parmesan II,B,10,unhealthy,2024-12-10 19:19:19.555009+00:00,dars201707_67tjmvp
63,65,3489,Flank Steak with Avocado Salsa,A,10,unhealthy,2024-12-10 18:52:09.279426+00:00,dars194928_65valua
62,64,3735,Hawaiian Chicken II,C,10,unhealthy,2024-12-10 18:41:54.235282+00:00,dars193623_64gwwos
