id,person,recommended_recipes,healthiness,created
176,91,"[3735, 3489, 4761, 4205, 5227]",Unhealthy,2024-12-11 14:57:17.955056+00:00
175,91,"[561, 446, 107, 494, 236]",Healthy,2024-12-11 14:57:17.947782+00:00
174,87,"[3649, 5133, 4416, 5139, 3992]",Unhealthy,2024-12-11 14:08:26.926459+00:00
173,87,"[1716, 2282, 2871, 2746, 2955]",Healthy,2024-12-11 14:08:26.921232+00:00
172,90,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 14:02:55.744022+00:00
171,90,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 14:02:55.740430+00:00
170,85,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 13:58:39.578685+00:00
169,85,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 13:58:39.571916+00:00
168,89,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 13:56:52.886055+00:00
167,89,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 13:56:52.883068+00:00
166,88,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 13:56:01.308688+00:00
165,88,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 13:56:01.305639+00:00
164,86,"[5474, 6203, 5364, 5133, 6563]",Unhealthy,2024-12-11 13:54:44.757787+00:00
163,86,"[2803, 2106, 2955, 200, 2746]",Healthy,2024-12-11 13:54:44.754592+00:00
162,82,"[4985, 4051, 5814, 5440, 5549]",Unhealthy,2024-12-11 13:50:51.963090+00:00
161,82,"[561, 1828, 696, 897, 236]",Healthy,2024-12-11 13:50:51.957668+00:00
160,83,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 13:50:37.392340+00:00
159,83,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 13:50:37.389520+00:00
158,84,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 13:50:31.177251+00:00
157,84,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 13:50:31.173912+00:00
156,80,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 13:49:23.245194+00:00
155,80,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 13:49:23.242733+00:00
154,81,"[5569, 4376, 6225, 5916, 3556]",Unhealthy,2024-12-11 13:48:46.552960+00:00
153,81,"[1879, 2803, 2483, 2719, 72]",Healthy,2024-12-11 13:48:46.550332+00:00
152,79,"[3649, 5133, 4416, 5139, 3992]",Unhealthy,2024-12-11 13:34:37.943628+00:00
151,79,"[1716, 2282, 2871, 2746, 2955]",Healthy,2024-12-11 13:34:37.940629+00:00
150,78,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 09:37:58.325028+00:00
149,78,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 09:37:58.321990+00:00
148,77,"[6411, 5190, 4011, 5644, 4167]",Unhealthy,2024-12-11 09:33:07.652167+00:00
147,77,"[1005, 0, 2619, 184, 3141]",Healthy,2024-12-11 09:33:07.649038+00:00
146,73,"[3489, 6408, 6384, 4480, 3583]",Unhealthy,2024-12-11 09:31:14.250628+00:00
145,73,"[1005, 3092, 696, 1828, 561]",Healthy,2024-12-11 09:31:14.241842+00:00
144,75,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 09:30:59.754164+00:00
143,75,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 09:30:59.751129+00:00
142,76,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 09:30:59.500531+00:00
141,76,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 09:30:59.496021+00:00
140,74,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 09:29:09.598933+00:00
139,74,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 09:29:09.596245+00:00
138,72,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 09:28:43.613992+00:00
137,72,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 09:28:43.611334+00:00
136,71,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 09:28:15.814117+00:00
135,71,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 09:28:15.810621+00:00
134,70,"[3735, 3489, 5152, 5227, 3834]",Unhealthy,2024-12-11 09:26:09.818495+00:00
133,70,"[561, 107, 494, 2265, 1380]",Healthy,2024-12-11 09:26:09.815337+00:00
132,69,"[3735, 6225, 4376, 5569, 5837]",Unhealthy,2024-12-11 09:22:42.787169+00:00
131,69,"[2282, 2803, 446, 2075, 1807]",Healthy,2024-12-11 09:22:42.771844+00:00
130,68,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 19:19:35.383805+00:00
129,68,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 19:19:35.380892+00:00
128,67,"[5569, 3735, 4376, 6225, 6507]",Unhealthy,2024-12-10 19:19:19.561807+00:00
127,67,"[2282, 2803, 446, 2075, 1807]",Healthy,2024-12-10 19:19:19.559051+00:00
126,65,"[3489, 5227, 4051, 4044, 5876]",Unhealthy,2024-12-10 18:52:09.286421+00:00
125,65,"[561, 1828, 3003, 433, 236]",Healthy,2024-12-10 18:52:09.283555+00:00
124,64,"[3735, 3489, 5152, 5227, 3834]",Unhealthy,2024-12-10 18:41:54.241891+00:00
123,64,"[561, 107, 494, 2265, 1380]",Healthy,2024-12-10 18:41:54.238909+00:00
122,63,"[5644, 3514, 4030, 4011, 6454]",Unhealthy,2024-12-10 18:35:28.118467+00:00
121,63,"[1005, 39, 482, 2751, 0]",Healthy,2024-12-10 18:35:28.111448+00:00
120,49,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 18:35:13.237556+00:00
119,49,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 18:35:13.230865+00:00
118,61,"[3514, 5474, 3489, 5935, 5152]",Unhealthy,2024-12-10 18:31:51.956560+00:00
117,61,"[561, 1380, 494, 1151, 107]",Healthy,2024-12-10 18:31:51.953803+00:00
116,53,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-10 18:31:28.796046+00:00
115,53,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-10 18:31:28.792351+00:00
114,60,"[3735, 3489, 5152, 5227, 3834]",Unhealthy,2024-12-10 18:31:02.990947+00:00
113,60,"[561, 107, 494, 2265, 1380]",Healthy,2024-12-10 18:31:02.988701+00:00
110,59,"[3735, 3489, 5152, 5227, 3834]",Unhealthy,2024-12-10 18:30:10.394650+00:00
109,59,"[561, 107, 494, 2265, 1380]",Healthy,2024-12-10 18:30:10.392157+00:00
108,41,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 18:29:11.203812+00:00
107,41,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 18:29:11.201149+00:00
106,50,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 18:29:05.494711+00:00
105,50,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 18:29:05.490045+00:00
104,54,"[3735, 6225, 4376, 5569, 5837]",Unhealthy,2024-12-10 18:29:04.290763+00:00
103,54,"[2282, 2803, 446, 2075, 1807]",Healthy,2024-12-10 18:29:04.288588+00:00
102,58,"[3735, 3489, 4761, 4205, 5227]",Unhealthy,2024-12-10 18:29:03.854746+00:00
101,58,"[561, 446, 107, 494, 236]",Healthy,2024-12-10 18:29:03.852305+00:00
100,57,"[3489, 6244, 4167, 5405, 5609]",Unhealthy,2024-12-10 18:28:54.573783+00:00
99,57,"[561, 236, 91, 494, 2265]",Healthy,2024-12-10 18:28:54.571270+00:00
98,43,"[3735, 3489, 4761, 4205, 5227]",Unhealthy,2024-12-10 18:28:30.779103+00:00
97,43,"[561, 446, 107, 494, 236]",Healthy,2024-12-10 18:28:30.776969+00:00
96,44,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-10 18:28:11.387919+00:00
95,44,"[561, 3092, 494, 446, 236]",Healthy,2024-12-10 18:28:11.384003+00:00
94,48,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 18:28:06.392284+00:00
93,48,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 18:28:06.390052+00:00
92,26,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-10 18:28:05.609292+00:00
91,26,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-10 18:28:05.606798+00:00
90,47,"[3649, 5133, 4416, 5139, 3992]",Unhealthy,2024-12-10 18:28:05.349732+00:00
89,47,"[1716, 2282, 2871, 2746, 2955]",Healthy,2024-12-10 18:28:05.346133+00:00
88,46,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 18:28:04.874687+00:00
87,46,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 18:28:04.870663+00:00
86,45,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 18:27:55.453710+00:00
85,45,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 18:27:55.449994+00:00
84,55,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 18:27:51.916511+00:00
83,55,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 18:27:51.910749+00:00
82,56,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 18:27:48.195602+00:00
81,56,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 18:27:48.193391+00:00
80,35,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-10 18:27:25.084850+00:00
79,35,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-10 18:27:25.082707+00:00
78,39,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-10 18:27:22.148312+00:00
77,39,"[561, 3092, 494, 446, 236]",Healthy,2024-12-10 18:27:22.146123+00:00
76,42,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-10 18:27:11.899642+00:00
75,42,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-10 18:27:11.896133+00:00
74,31,"[3735, 3489, 5152, 5227, 3834]",Unhealthy,2024-12-10 18:27:11.109647+00:00
73,31,"[561, 107, 494, 2265, 1380]",Healthy,2024-12-10 18:27:11.106238+00:00
72,29,"[3649, 5133, 4416, 5139, 3992]",Unhealthy,2024-12-10 18:27:04.124162+00:00
71,29,"[1716, 2282, 2871, 2746, 2955]",Healthy,2024-12-10 18:27:04.118319+00:00
70,34,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 18:27:03.228227+00:00
69,34,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 18:27:03.222220+00:00
68,33,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-10 18:27:01.332226+00:00
67,33,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-10 18:27:01.329812+00:00
66,37,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 18:26:46.672643+00:00
65,37,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 18:26:46.669444+00:00
64,15,"[3649, 5133, 4416, 5139, 3992]",Unhealthy,2024-12-10 18:26:34.993951+00:00
63,15,"[1716, 2282, 2871, 2746, 2955]",Healthy,2024-12-10 18:26:34.991633+00:00
62,38,"[3735, 3489, 5152, 5227, 3834]",Unhealthy,2024-12-10 18:26:24.998097+00:00
61,38,"[561, 107, 494, 2265, 1380]",Healthy,2024-12-10 18:26:24.995046+00:00
60,32,"[3735, 3489, 5152, 5227, 3834]",Unhealthy,2024-12-10 18:26:23.053851+00:00
59,32,"[561, 107, 494, 2265, 1380]",Healthy,2024-12-10 18:26:23.047228+00:00
58,36,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-10 18:26:20.483610+00:00
57,36,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-10 18:26:20.481353+00:00
56,40,"[3489, 4514, 5243, 6408, 6155]",Unhealthy,2024-12-10 18:26:19.532340+00:00
55,40,"[3003, 3229, 2573, 3092, 1828]",Healthy,2024-12-10 18:26:19.529603+00:00
54,23,"[3735, 3489, 5152, 5227, 3834]",Unhealthy,2024-12-10 18:26:18.373018+00:00
53,23,"[561, 107, 494, 2265, 1380]",Healthy,2024-12-10 18:26:18.369375+00:00
52,27,"[4416, 3649, 5133, 3561, 3573]",Unhealthy,2024-12-10 18:26:16.146128+00:00
51,27,"[2210, 2069, 3084, 2483, 2871]",Healthy,2024-12-10 18:26:16.143275+00:00
50,28,"[3735, 3489, 5152, 5227, 3834]",Unhealthy,2024-12-10 18:26:14.478678+00:00
49,28,"[561, 107, 494, 2265, 1380]",Healthy,2024-12-10 18:26:14.475806+00:00
48,22,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 18:26:07.633836+00:00
47,22,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 18:26:07.631150+00:00
46,24,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-10 18:26:03.005613+00:00
45,24,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-10 18:26:03.003135+00:00
44,30,"[3489, 6244, 4167, 5405, 5609]",Unhealthy,2024-12-10 18:26:01.462069+00:00
43,30,"[561, 236, 91, 494, 2265]",Healthy,2024-12-10 18:26:01.459659+00:00
42,19,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-10 18:25:51.509356+00:00
41,19,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-10 18:25:51.507093+00:00
40,25,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-10 18:25:44.351771+00:00
39,25,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-10 18:25:44.349389+00:00
38,14,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-10 18:25:15.038941+00:00
37,14,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-10 18:25:15.036902+00:00
36,20,"[4206, 4107, 3885, 3951, 3983]",Unhealthy,2024-12-10 18:25:09.038922+00:00
35,20,"[200, 2746, 1716, 2955, 2106]",Healthy,2024-12-10 18:25:09.035878+00:00
34,17,"[5474, 6203, 5364, 5133, 6563]",Unhealthy,2024-12-10 18:24:58.471249+00:00
33,17,"[2803, 2106, 2955, 200, 2746]",Healthy,2024-12-10 18:24:58.469010+00:00
32,21,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 18:24:55.080959+00:00
31,21,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 18:24:55.078733+00:00
30,18,"[5569, 4376, 6225, 5133, 6507]",Unhealthy,2024-12-10 18:24:54.623689+00:00
29,18,"[2803, 2746, 200, 1716, 2955]",Healthy,2024-12-10 18:24:54.620019+00:00
28,16,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 18:24:51.103788+00:00
27,16,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 18:24:51.100980+00:00
26,10,"[3489, 6244, 4167, 5405, 5609]",Unhealthy,2024-12-10 18:24:40.043210+00:00
25,10,"[561, 236, 91, 494, 2265]",Healthy,2024-12-10 18:24:40.039836+00:00
24,9,"[3735, 6225, 4376, 5569, 5837]",Unhealthy,2024-12-10 18:24:32.169173+00:00
23,9,"[2282, 2803, 446, 2075, 1807]",Healthy,2024-12-10 18:24:32.166620+00:00
22,11,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-10 18:24:29.037395+00:00
21,11,"[561, 3092, 494, 446, 236]",Healthy,2024-12-10 18:24:29.034847+00:00
20,13,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-10 18:24:25.722311+00:00
19,13,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-10 18:24:25.716706+00:00
18,12,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-10 18:24:21.166468+00:00
17,12,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-10 18:24:21.163019+00:00
16,8,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-10 18:23:52.946137+00:00
15,8,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-10 18:23:52.943603+00:00
14,5,"[3489, 6244, 4167, 5405, 5609]",Unhealthy,2024-12-10 16:03:05.062906+00:00
13,5,"[561, 236, 91, 494, 2265]",Healthy,2024-12-10 16:03:05.060329+00:00
12,7,"[4416, 3649, 5133, 3561, 3573]",Unhealthy,2024-12-10 16:02:58.923638+00:00
11,7,"[2210, 2069, 3084, 2483, 2871]",Healthy,2024-12-10 16:02:58.921155+00:00
10,6,"[4416, 3649, 5133, 3561, 3573]",Unhealthy,2024-12-10 16:01:07.144567+00:00
9,6,"[2210, 2069, 3084, 2483, 2871]",Healthy,2024-12-10 16:01:07.142546+00:00
8,3,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-10 16:00:41.700994+00:00
7,3,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-10 16:00:41.698722+00:00
6,4,"[3649, 5133, 4416, 5139, 3992]",Unhealthy,2024-12-10 16:00:22.909422+00:00
5,4,"[1716, 2282, 2871, 2746, 2955]",Healthy,2024-12-10 16:00:22.907274+00:00
