Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
675864dea23e7c49f73b26ce,58bf2cf0d294c100010181fa,APPROVED,Not Applicable,2024-12-10T15:57:28.723000Z,2024-12-10T16:06:29.983000Z,2024-12-11T09:05:43.136000Z,2024-12-10T16:06:34.599153Z,542.0,CJL9IR62,3099,English,67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
675865021aa0bfcb598cdc42,602164e5c7f2bd119d6ea691,APPROVED,Not Applicable,2024-12-10T15:58:00.844000Z,2024-12-10T16:02:53.392000Z,2024-12-11T09:09:33.486000Z,2024-12-10T16:02:58.919265Z,293.0,CJL9IR62,897,"English, Welsh",45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
67586512e8d82474b7bff7ac,5df03fabc1ef790aa5595f8f,APPROVED,Not Applicable,2024-12-10T15:58:26.330000Z,2024-12-10T16:04:41.198000Z,2024-12-11T09:09:36.513000Z,2024-12-10T16:05:02.984016Z,375.0,CJL9IR62,2946,English,46,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
675886adc39a14bba3804c4b,669053bbebafdd430e770142,APPROVED,Not Applicable,2024-12-10T18:21:42.592000Z,2024-12-10T18:25:59.040000Z,2024-12-11T09:09:40.162000Z,2024-12-10T18:26:32.321721Z,257.0,CJL9IR62,402,English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
675886aee541437bc5acee3b,629f6b8c65fcae219e245284,APPROVED,Not Applicable,2024-12-10T18:22:36.596000Z,2024-12-10T18:27:38.440000Z,2024-12-11T09:10:16.013000Z,2024-12-10T18:27:39.228222Z,302.0,CJL9IR62,2596,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
675886b4ea7fef5bed83898e,665a081994dc662744486887,APPROVED,Not Applicable,2024-12-10T18:21:48.941000Z,2024-12-10T18:26:31.719000Z,2024-12-11T09:09:41.766000Z,2024-12-10T18:26:49.082832Z,283.0,CJL9IR62,34,English,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
675886b84c4367fbee55bdf7,614e5092e08a3a2d3204ffd2,APPROVED,Not Applicable,2024-12-10T18:21:53.786000Z,2024-12-10T18:25:23.213000Z,2024-12-11T09:09:46.406000Z,2024-12-10T18:26:08.303898Z,210.0,CJL9IR62,1589,English,24,Male,White,United States,United States,United States,English,No,Due to start a new job within the next month
675886b8e855d741c6bc379d,62a72693ad239d8873b2d0bc,APPROVED,Not Applicable,2024-12-10T18:21:52.419000Z,2024-12-10T18:26:15.058000Z,2024-12-11T09:09:43.719000Z,2024-12-10T18:26:41.137272Z,263.0,CJL9IR62,1803,English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
675886c6b65947fa66249bc7,60be1ea6b06c026c3531e0f5,APPROVED,Not Applicable,2024-12-10T18:23:27.992000Z,2024-12-10T18:28:41.751000Z,2024-12-11T09:10:47.905000Z,2024-12-10T18:28:42.371328Z,314.0,CJL9IR62,831,English,38,Male,Asian,Pakistan,United Kingdom,United Kingdom,Urdu,No,DATA_EXPIRED
675886cffc6bfc127486a597,671798b7d4db73aba8605dae,APPROVED,Not Applicable,2024-12-10T18:22:14.416000Z,2024-12-10T18:27:19.839000Z,2024-12-11T09:09:57.937000Z,2024-12-10T18:27:20.501356Z,306.0,CJL9IR62,110,English,31,Female,White,United States,United States,United States,English,No,Full-Time
675886d8e0468044522b657b,6005f9ba9a21c96134362ff1,APPROVED,Not Applicable,2024-12-10T18:22:23.204000Z,2024-12-10T18:28:02.535000Z,2024-12-11T09:10:00.862000Z,2024-12-10T18:28:03.147354Z,340.0,CJL9IR62,968,English,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
675886e051eef74956068610,5fb57dbe9b5a180a294aeb6e,AWAITING REVIEW,Not Applicable,2024-12-10T18:25:06.729000Z,2024-12-10T18:29:02.170000Z,,2024-12-10T18:29:02.871046Z,236.0,5fb57dbe9b5a180a294aeb6e,358,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
675886e201026213b179de29,66a50d9d7bdfd868e2389033,APPROVED,Not Applicable,2024-12-10T18:23:20.863000Z,2024-12-10T18:35:05.840000Z,2024-12-11T09:10:42.330000Z,2024-12-10T18:35:07.098055Z,705.0,CJL9IR62,107,English,43,Male,Black,Ghana,United States,Ghana,English,Yes,Full-Time
675886e21d5d3f1119cae7ef,654f97432dbb8563cf98d7c3,APPROVED,Not Applicable,2024-12-10T18:22:26.949000Z,2024-12-10T18:27:21.907000Z,2024-12-11T09:10:07.929000Z,2024-12-10T18:27:22.732153Z,295.0,CJL9IR62,694,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
675886e38ba1b9a718743a84,672ec31531b7504b78dcddde,APPROVED,Not Applicable,2024-12-10T18:22:40.296000Z,2024-12-10T18:31:21.199000Z,2024-12-11T09:10:17.964000Z,2024-12-10T18:31:21.896422Z,521.0,CJL9IR62,32,English,33,Male,Black,Ghana,United States,United States,English,No,Full-Time
675886e5e4b9f589d9d1dcb6,6658b20e7effe3be35b0e34c,APPROVED,Not Applicable,2024-12-10T18:25:30.413000Z,2024-12-10T18:28:57.537000Z,2024-12-11T09:13:42.245000Z,2024-12-10T18:28:58.362517Z,208.0,CJL9IR62,104,English,20,Prefer not to say,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
675886f365b769a71a6ad3bc,667dbf0273d123722d4eb347,APPROVED,Not Applicable,2024-12-10T18:23:06.109000Z,2024-12-10T18:30:35.093000Z,2024-12-11T09:10:35.229000Z,2024-12-10T18:30:36.946696Z,449.0,CJL9IR62,187,English,18,Female,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Due to start a new job within the next month
675886f7c313ff2cda9f4011,672aaa9f86c28a08d0a98d45,APPROVED,Not Applicable,2024-12-10T18:22:59.015000Z,2024-12-10T18:30:40.003000Z,2024-12-11T09:10:24.967000Z,2024-12-10T18:30:40.732501Z,461.0,CJL9IR62,35,English,18,Male,Mixed,Morocco,United Kingdom,United Kingdom,English,No,Full-Time
675887024046f8b95ffcbe21,5c9505af51f50e0016cbc42b,APPROVED,Not Applicable,2024-12-10T18:23:03.682000Z,2024-12-10T18:28:28.834000Z,2024-12-11T09:10:33.059000Z,2024-12-10T18:28:29.585940Z,326.0,CJL9IR62,2646,English,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67588709338cb5a0df23a238,665f567da83b58036682b894,APPROVED,Not Applicable,2024-12-10T18:23:14.389000Z,2024-12-10T18:33:32.676000Z,2024-12-11T09:10:40.790000Z,2024-12-10T18:33:33.334704Z,619.0,CJL9IR62,175,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67588709cd42efacead4ce0e,60d8c3f7b29ef0af10d9203b,APPROVED,Not Applicable,2024-12-10T18:23:09.672000Z,2024-12-10T18:28:52.320000Z,2024-12-11T09:10:37.714000Z,2024-12-10T18:28:52.872095Z,343.0,CJL9IR62,2895,English,38,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6758870aa98a280beec5e523,59eb2cc98c371000010bb196,APPROVED,Not Applicable,2024-12-10T18:23:12.958000Z,2024-12-10T18:31:35.751000Z,2024-12-11T09:10:39.250000Z,2024-12-10T18:31:36.413343Z,503.0,CJL9IR62,2358,English,71,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6758871091a12cb6cdb89ac3,66c235c2e874e19101846594,APPROVED,Not Applicable,2024-12-10T18:23:22.750000Z,2024-12-10T18:27:48.736000Z,2024-12-11T09:10:44.112000Z,2024-12-10T18:27:49.314447Z,266.0,CJL9IR62,159,"Other, English",23,Female,Black,Zimbabwe,United Kingdom,Zimbabwe,English,No,Full-Time
675887156d74ff33e955bde5,67320610635afc65498583cb,AWAITING REVIEW,Not Applicable,2024-12-10T18:24:18.212000Z,2024-12-10T18:30:35.481000Z,,2024-12-10T18:30:36.231125Z,378.0,NOCODE,60,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
67588717303bcd7dcec459c8,673235d7774579c480456abf,APPROVED,Not Applicable,2024-12-10T18:23:31.918000Z,2024-12-10T18:27:26.912000Z,2024-12-11T09:13:37.654000Z,2024-12-10T18:27:27.653688Z,235.0,CJL9IR62,12,English,20,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
67588720710904001ed092e8,63ee6ca92186ac65c4437d62,APPROVED,Not Applicable,2024-12-10T18:23:35.670000Z,2024-12-10T18:28:13.904000Z,2024-12-11T09:11:01.664000Z,2024-12-10T18:28:14.630353Z,279.0,63ee6ca92186ac65c4437d62,1096,English,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67588728331b1dc12fc83831,5ee17828636ea955e8eaf6bc,APPROVED,Not Applicable,2024-12-10T18:23:42.217000Z,2024-12-10T18:28:35.503000Z,2024-12-11T09:11:04.432000Z,2024-12-10T18:28:36.412119Z,294.0,CJL9IR62,759,English,33,Female,White,United States,United States,United States,English,No,Part-Time
675887291b2082fa897e5478,6306ae3d2b596900d1f503b8,APPROVED,Not Applicable,2024-12-10T18:23:46.120000Z,2024-12-10T18:37:49.131000Z,2024-12-11T09:11:06.115000Z,2024-12-10T18:37:51.319250Z,844.0,CJL9IR62,140,English,64,Female,DATA_EXPIRED,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6758872a0fd4f70f93e2e88e,6757a6eca9e9d0e9273ec9a1,APPROVED,Not Applicable,2024-12-10T18:23:49.417000Z,2024-12-10T18:28:40.210000Z,2024-12-11T09:11:12.466000Z,2024-12-10T18:28:40.894223Z,291.0,CJL9IR62,6,English,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
67588730cd42efacead4ce16,66859847921f89ca3054d41f,APPROVED,Not Applicable,2024-12-10T18:23:47.789000Z,2024-12-10T18:28:03.284000Z,2024-12-11T09:11:08.065000Z,2024-12-10T18:28:03.976234Z,256.0,CJL9IR62,282,"Chinese, English",24,Female,Asian,China,United States,China,Chinese,No,Full-Time
