"","person","FK_9","FK_10","FK_11","FK_12","sus_1","sus_2","sus_3","sus_4","Height","Weight","recipe_id","fsa_score","liked_recipes","prepare_recipes","fit_preference","know_many","recommend_recipe","many_to_choose","easy_choice","choice_overwhelming","sys_time","unders_sys","many_actions","under_1","under_2","under_3","n_condition","choice_satisfaction","choice_difficulty","perceived_effort","SFD","Sustain","understand","conditionnoLabel","conditionLabel","conditionHashtags","conditionExplanation"
"1",1003,4,4,4,4,5,4,4,3,172,70,5569,10,4,4,4,2,4,3,2,2,1,2,2,3,4,4,0,4,2.33333333333333,1.66666666666667,4,4,3.66666666666667,1,0,0,0
"2",1006,4,4,4,4,5,2,4,4,1778,80,2955,5,5,4,5,3,4,2,2,1,1,2,1,4,2,1,0,4.5,1.66666666666667,1.33333333333333,4,3.75,2.33333333333333,1,0,0,0
"3",1008,5,4,4,5,4,3,5,1,172,55,3003,6,2,2,3,1,3,2,2,2,1,2,2,2,4,2,0,2.5,2,1.66666666666667,4.5,3.25,2.66666666666667,1,0,0,0
"4",1011,3,4,3,4,4,3,4,2,166,105,2746,5,3,3,2,2,2,3,4,2,2,2,2,2,2,2,0,2.5,3,2,3.5,3.25,2,1,0,0,0
"5",1009,5,5,5,5,3,3,1,5,175,70,3735,10,5,3,4,2,4,2,2,1,1,1,1,4,4,4,0,4,1.66666666666667,1,5,3,4,1,0,0,0
"6",1012,4,4,4,4,4,3,3,2,122,173,3649,10,3,3,4,2,3,2,2,3,2,2,3,4,4,3,0,3.25,2.33333333333333,2.33333333333333,4,3,3.66666666666667,1,0,0,0
"7",1010,3,4,4,3,4,4,4,1,183,110,200,6,5,5,5,3,5,1,1,1,1,1,1,5,4,2,0,5,1,1,3.5,3.25,3.66666666666667,1,0,0,0
"8",1015,4,4,4,4,4,3,3,1,170,114,2483,6,4,4,4,4,4,3,2,2,2,2,2,3,2,2,0,4,2.33333333333333,2,4,2.75,2.33333333333333,1,0,0,0
"9",1013,4,4,4,4,4,3,4,1,195,89,5569,10,4,3,4,2,2,4,3,2,2,2,2,2,3,2,0,3.25,3,2,4,3,2.33333333333333,1,0,0,0
"10",1023,4,5,4,5,4,3,5,2,164,55,446,6,3,2,1,2,3,4,5,1,2,3,2,3,5,3,0,2.25,3.33333333333333,2.33333333333333,4.5,3.5,3.66666666666667,1,0,0,0
"11",1018,3,2,2,1,3,3,4,2,6,87,482,5,4,5,5,3,4,2,1,1,2,2,2,5,4,4,0,4.5,1.33333333333333,2,2,3,4.33333333333333,1,0,0,0
"12",1021,4,4,4,4,3,3,4,1,165,210,2483,6,4,4,4,2,3,2,2,1,1,2,3,4,4,3,0,3.75,1.66666666666667,2,4,2.75,3.66666666666667,1,0,0,0
"13",1019,3,4,3,4,4,3,2,3,163,54,3489,10,4,4,4,1,3,2,2,2,2,2,2,4,3,4,0,3.75,2,2,3.5,3,3.66666666666667,1,0,0,0
