id,title,person,liked_recipes,prepare_recipes,fit_preference,know_many,recommend_recipe,many_to_choose,easy_choice,choice_overwhelming,sys_time,unders_sys,many_actions,understandability,effectiveness,nudge_eval,created,session_id
2,EvaluateChoices,3,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly_Disagree,Agree,Disagree,Neutral,Agree,Agree,2024-12-11 09:25:59.888112+00:00,62a62e9de4093c6fd9dd43f0
3,EvaluateChoices,5,Strongly_Agree,Strongly_Agree,Strongly_Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Strongly_Disagree,Agree,Agree,Neutral,2024-12-11 09:28:49.504799+00:00,5aed67f69457e00001054b11
4,EvaluateChoices,4,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Disagree,Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,2024-12-11 09:29:50.839001+00:00,66a398080da27efcc3e8ecef
5,EvaluateChoices,6,Strongly_Agree,Agree,Strongly_Agree,Neutral,Agree,Disagree,Agree,Strongly_Disagree,Strongly_Disagree,Agree,Strongly_Disagree,Agree,Disagree,Strongly_Disagree,2024-12-11 09:30:50.512621+00:00,5e130b3f54e2f09436f73393
6,EvaluateChoices,8,Disagree,Disagree,Neutral,Strongly_Agree,Neutral,Disagree,Agree,Disagree,Strongly_Disagree,Agree,Disagree,Disagree,Agree,Disagree,2024-12-11 09:36:37.091240+00:00,651f3a4f8b1f6b41f425e8f2
7,EvaluateChoices,9,Strongly_Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Agree,Agree,Agree,2024-12-11 09:43:40.062986+00:00,64526be1abfd84e77ccaeb63
8,EvaluateChoices,14,Agree,Agree,Agree,Strongly_Agree,Disagree,Neutral,Neutral,Disagree,Strongly_Disagree,Agree,Neutral,Agree,Neutral,Neutral,2024-12-11 09:43:48.673668+00:00,67223b79a4d01f12dc860c42
9,EvaluateChoices,10,Strongly_Agree,Strongly_Agree,Strongly_Agree,Neutral,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Agree,Disagree,2024-12-11 09:44:00.888202+00:00,666f0633ccab5a7364baf7c5
10,EvaluateChoices,13,Agree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,2024-12-11 09:44:03.716038+00:00,66a24d01cdcb14bc874d3ee9
11,EvaluateChoices,11,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,2024-12-11 09:44:09.418984+00:00,6658c035eacd7bcadeef89ea
12,EvaluateChoices,15,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,2024-12-11 09:44:47.926603+00:00,5877f454127d7700018b1bdf
13,EvaluateChoices,12,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,2024-12-11 09:46:19.843545+00:00,5964a054b9153e000161710d
14,EvaluateChoices,21,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly_Disagree,Strongly_Disagree,Agree,Neutral,Agree,Agree,Neutral,2024-12-11 09:46:39.456211+00:00,5de7ad0ca1a3fb7217ec3365
15,EvaluateChoices,19,Agree,Agree,Agree,Strongly_Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Agree,2024-12-11 09:47:25.004618+00:00,5ccd9718b6494d0001dee261
16,EvaluateChoices,24,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,2024-12-11 09:47:46.904012+00:00,6667fa049da88a68344befc2
17,EvaluateChoices,17,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Strongly_Disagree,Disagree,Agree,Strongly_Disagree,Agree,Agree,Agree,2024-12-11 09:47:55.890243+00:00,6750d6364a372d312d35330a
18,EvaluateChoices,20,Strongly_Agree,Agree,Agree,Agree,Neutral,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Agree,Neutral,Agree,2024-12-11 09:48:47.815241+00:00,58fb83d9f3c0f100015d5c45
19,EvaluateChoices,22,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,2024-12-11 09:49:46.298326+00:00,653e7cda114b6a662357f026
20,EvaluateChoices,25,Strongly_Disagree,Strongly_Disagree,Strongly_Disagree,Disagree,Strongly_Disagree,Disagree,Neutral,Disagree,Strongly_Disagree,Disagree,Agree,Agree,Disagree,Agree,2024-12-11 09:50:09.449208+00:00,5a1dda5480acd8000104a12b
21,EvaluateChoices,23,Neutral,Disagree,Strongly_Disagree,Agree,Neutral,Agree,Strongly_Disagree,Strongly_Disagree,Disagree,Neutral,Disagree,Neutral,Strongly_Agree,Neutral,2024-12-11 09:52:28.299441+00:00,5de54842a7cb240cb3c34933
22,EvaluateChoices,18,Agree,Strongly_Agree,Strongly_Agree,Neutral,Agree,Disagree,Strongly_Agree,Strongly_Disagree,Disagree,Agree,Disagree,Strongly_Agree,Agree,Agree,2024-12-11 09:54:22.367177+00:00,6581c0d833f32d42d1790ee1
23,EvaluateChoices,27,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,2024-12-11 10:07:24.007435+00:00,60dddb1b0ac9d871e7352b58
24,EvaluateChoices,26,Strongly_Agree,Strongly_Agree,Strongly_Agree,Neutral,Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Agree,Neutral,Agree,2024-12-11 10:07:52.652910+00:00,66847cc7c67232fae11af5b3
25,EvaluateChoices,37,Agree,Neutral,Neutral,Strongly_Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,2024-12-11 10:08:01.656667+00:00,665590d01689b3598b61e4a1
26,EvaluateChoices,29,Strongly_Agree,Strongly_Agree,Strongly_Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Strongly_Disagree,Neutral,Neutral,Neutral,2024-12-11 10:08:03.845705+00:00,6560d43fc84f57af66b900f8
27,EvaluateChoices,28,Agree,Neutral,Strongly_Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,2024-12-11 10:08:09.242004+00:00,651ab64d39658e91e9469f16
28,EvaluateChoices,35,Strongly_Agree,Agree,Strongly_Agree,Agree,Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Agree,Agree,Strongly_Agree,2024-12-11 10:08:13.585649+00:00,5693df018d93fe000dfa5733
29,EvaluateChoices,33,Strongly_Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly_Disagree,Strongly_Disagree,Agree,Strongly_Disagree,Agree,Agree,Agree,2024-12-11 10:08:40.602031+00:00,5b15821c1e55760001ba20d0
30,EvaluateChoices,32,Neutral,Neutral,Agree,Strongly_Agree,Neutral,Strongly_Disagree,Agree,Strongly_Disagree,Disagree,Disagree,Strongly_Disagree,Disagree,Disagree,Agree,2024-12-11 10:08:57.159954+00:00,662953ec9eb86f144a8ff52b
31,EvaluateChoices,34,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,2024-12-11 10:09:03.236530+00:00,670e3a1047073db38ce544b0
32,EvaluateChoices,30,Neutral,Strongly_Agree,Agree,Neutral,Neutral,Strongly_Disagree,Agree,Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Neutral,Neutral,Neutral,2024-12-11 10:09:05.018719+00:00,612cb8ab5ad60fc4504e073f
33,EvaluateChoices,40,Strongly_Agree,Agree,Agree,Neutral,Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Agree,Disagree,Agree,2024-12-11 10:09:16.280622+00:00,5fd3ae848ae14804a02b116d
34,EvaluateChoices,41,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Strongly_Disagree,Disagree,Agree,Strongly_Disagree,Neutral,Neutral,Disagree,2024-12-11 10:09:53.471722+00:00,5e38617987cb0602fed6d8b1
35,EvaluateChoices,31,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,2024-12-11 10:10:17.372661+00:00,5ea047d315537303f1e60ef9
36,EvaluateChoices,38,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Strongly_Disagree,Agree,Disagree,Neutral,Neutral,Neutral,2024-12-11 10:10:27.413130+00:00,6617d376619a2b4541498f2c
