Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
675959ec6af4cb73e410a6fd,62a62e9de4093c6fd9dd43f0,APPROVED,Not Applicable,2024-12-11T09:23:02.861000Z,2024-12-11T09:26:27.922000Z,2024-12-11T09:39:00.461000Z,2024-12-11T09:26:28.526322Z,206.0,CJL9IR62,1,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67595afdfa4a3af24aec6f7d,5e130b3f54e2f09436f73393,APPROVED,Not Applicable,2024-12-11T09:27:31.481000Z,2024-12-11T09:31:06.228000Z,2024-12-11T09:39:02.379000Z,2024-12-11T09:31:06.957670Z,215.0,CJL9IR62,2604,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67595bca99f687f569fe92c5,651f3a4f8b1f6b41f425e8f2,APPROVED,Not Applicable,2024-12-11T09:30:50.581000Z,2024-12-11T09:36:57.334000Z,2024-12-11T09:39:03.830000Z,2024-12-11T09:36:58.270970Z,367.0,CJL9IR62,90,"French, English, Cantonese",31,Male,Asian,France,United Kingdom,France,French,No,Full-Time
67595e049a8959e62d00d8b6,6658c035eacd7bcadeef89ea,APPROVED,Not Applicable,2024-12-11T09:40:35.477000Z,2024-12-11T09:44:39.719000Z,2024-12-11T10:03:18.358000Z,2024-12-11T09:44:40.499536Z,245.0,CJL9IR62,317,"English, German",32,Female,White,Switzerland,United Kingdom,Switzerland,German,No,Full-Time
67595e0c5c5a4c6717b0614f,64526be1abfd84e77ccaeb63,APPROVED,Not Applicable,2024-12-11T09:40:34.683000Z,2024-12-11T09:43:58.719000Z,2024-12-11T10:03:13.437000Z,2024-12-11T09:43:59.671180Z,205.0,CJL9IR62,554,English,30,Male,White,Brazil,United Kingdom,Portugal,Portuguese,No,Full-Time
67595e16c83a112357188968,5964a054b9153e000161710d,APPROVED,Not Applicable,2024-12-11T09:40:43.915000Z,2024-12-11T09:47:15.012000Z,2024-12-11T10:03:19.489000Z,2024-12-11T09:47:15.688098Z,392.0,CJL9IR62,3215,English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67595e210a4be55fdea7f8e3,666f0633ccab5a7364baf7c5,APPROVED,Not Applicable,2024-12-11T09:40:53.530000Z,2024-12-11T09:44:23.792000Z,2024-12-11T10:03:54.588000Z,2024-12-11T09:44:24.373615Z,211.0,CJL9IR62,296,English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67595e22a6bb5eb88ddd7c74,5877f454127d7700018b1bdf,APPROVED,Not Applicable,2024-12-11T09:40:54.989000Z,2024-12-11T09:45:31.282000Z,2024-12-11T10:03:52.508000Z,2024-12-11T09:45:32.026798Z,277.0,CJL9IR62,1644,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
67595e24561f002f2fae1b1d,66a24d01cdcb14bc874d3ee9,APPROVED,Not Applicable,2024-12-11T09:40:58.862000Z,2024-12-11T09:44:27.482000Z,2024-12-11T10:03:49.905000Z,2024-12-11T09:44:28.300527Z,209.0,CJL9IR62,80,English,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
67595e2d64086d733b259673,5de54842a7cb240cb3c34933,APPROVED,Not Applicable,2024-12-11T09:41:13.220000Z,2024-12-11T09:52:45.218000Z,2024-12-11T10:03:20.193000Z,2024-12-11T09:52:46.035643Z,692.0,CJL9IR62,666,"English, Farsi",25,Female,Other,United Kingdom,United Kingdom,United Kingdom,Farsi,No,Full-Time
